Now,Wed Feb 01 2023 14:22:15 GMT+0000 (Greenwich Mean Time)
Post URL,https://www.tiktok.com/@complex/video/6833759604237798662
Publisher Nickname,Complex
Publisher @,complex
Publisher URL,https://www.tiktok.com/@complex
Publish Time,2-6-2020
Post Likes,4.4M
Post Shares,N/A
Description,"🖤 #blacklivesmatter @thehighlyeducated"
Number of 1st level comments,1127
Number of 2nd level comments,306
"Total Comments (actual, in this list, rendered in the comment section; needs all comments to be loaded!)",1433
Total Comments (which TikTok tells you; it's too high most of the time when dealing with many comments OR way too low because TikTok limits the number of comments to prevent scraping),50.4K
Difference,1383
Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
28,"👻","___g____i_____n_____a___",https://www.tiktok.com/@___g____i_____n_____a___,"Ka",3-6-2020,111,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/78894764214d4585e3d80ef715d30513~c5_100x100.jpg?x-expires=1675346400&x-signature=IWohEImOtHTLFnrCntg%2FmykYqX0%3D",Yes,".",0
29,"","qq..001",https://www.tiktok.com/@qq..001,"👊we👊🏻all👊🏼the👊🏽same👊🏾people👊🏿❤❤",3-6-2020,9591,"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/4aa724976859069977da10b9d1a5118b.jpg?x-expires=1675346400&x-signature=rQWh1pz3Wtf5Fkuaxou3pYVKeN8%3D",No,---,3
30,"sara sanchez","sara_is_2_swag",https://www.tiktok.com/@sara_is_2_swag,"Yess sirr",14-7-2020,43,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9bc99eabc310043b02f83949834a4e02~c5_100x100.jpg?x-expires=1675346400&x-signature=d80VH1FjCCxAjDw9fQTuoRcGDzE%3D",Yes,"",0
31,"Sweets Candy","....azariah7",https://www.tiktok.com/@....azariah7,"Take that bs somewhere else 🗑",18-7-2020,125,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6efc8b6741a97ce133051cfd01c3b8f9~c5_100x100.jpg?x-expires=1675346400&x-signature=%2FVhX1xo24vRxix7tQNNhLQL%2FkV4%3D",Yes,"",0
32,"arminsvoicecracks is my main","thatgayenby.hp",https://www.tiktok.com/@thatgayenby.hp,"No",26-7-2020,14,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ce70c1c5698147e65ad6f81c53ca1093~c5_100x100.jpg?x-expires=1675346400&x-signature=e%2FOhtzozYoq14hUUPf1dNlpLSB0%3D",Yes,"",0
33,"🗿","maaaaaaaatheo",https://www.tiktok.com/@maaaaaaaatheo,"il sont avec vous mais ils doivent obeir pour pas perdre leur emploi",2-6-2020,6728,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/55a1f2aad79d2bd9a685de4e4b1542c0~c5_100x100.jpg?x-expires=1675346400&x-signature=FnayqMHJW4xJlW2xTuhFpBQH38c%3D",No,---,3
34,"Noémiette","noemie.brh",https://www.tiktok.com/@noemie.brh,"Oui mais il y a quand même des policier raciste",2-6-2020,692,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/23ca67b45d1e1ef88ab728d193151dc4~c5_100x100.jpg?x-expires=1675346400&x-signature=g%2FqelGJ%2F3Ky4QNKYL62bbLLlQI4%3D",Yes,"🗿",0
35,"waban","wabandubois",https://www.tiktok.com/@wabandubois,"malheureusement oui..",3-6-2020,306,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/10071aabff6c601d9f2d654b667e2a71~c5_100x100.jpg?x-expires=1675346400&x-signature=AvzTvAAAPwyVrIvE2f8q4nhf3UM%3D",Yes,"🗿",0
36,"feu.nina","feu.nina",https://www.tiktok.com/@feu.nina,"tout comme chaque humain en faite",3-6-2020,207,"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1667748098275333~c5_100x100.jpg?x-expires=1675346400&x-signature=fIhjxlnelA%2ByD%2B9ztwMRG2RbV1A%3D",Yes,"🗿",0
37,"{₳₦ł₥ɇ}","_.gae.bais",https://www.tiktok.com/@_.gae.bais,"Genau so müssen wir immer sein wie die weißen einen armen schwarzen helfen ist helfen haft wir alle haben das gleiche Blut Leute 😭",3-6-2020,6726,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e06f885dc26b5e789cd72a7f3eea834d~c5_100x100.jpg?x-expires=1675346400&x-signature=AdCGilhF7fF%2FxtLS%2F2M6Rdq6Gfw%3D",No,---,3
38,".","yeet_king_",https://www.tiktok.com/@yeet_king_,"Nein es gibt typ A und typ B UwU",3-6-2020,213,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a85f45391e139d69fb7be05382140394~c5_100x100.jpg?x-expires=1675346400&x-signature=mxxYyTi8bOwPDuakG%2Bkjk3DMc8w%3D",Yes,"{₳₦ł₥ɇ}",0
39,"🦋💘","sjkbsksksks",https://www.tiktok.com/@sjkbsksksks,"er meint nicht welches typ von blut sonder allgemein",3-6-2020,77,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8416e7339d50df36e197b7afa8930e3e~c5_100x100.jpg?x-expires=1675346400&x-signature=lv0XxSseGFgBnUYMj55PSnDe2Hs%3D",Yes,"{₳₦ł₥ɇ}",0
40,"SHRIMP","rick_als_shrimp",https://www.tiktok.com/@rick_als_shrimp,"😂",3-6-2020,28,"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/26daaea3d299f27222741897d884410d~c5_100x100.jpg?x-expires=1675346400&x-signature=Y0ZQKCAvuqfSl0cR2xO6wUcwKGU%3D",Yes,"{₳₦ł₥ɇ}",0
41,"𝐅𝟒𝐊𝐄𝐬𝐮𝐩𝐞𝐫𝐢𝐨𝐫","siabramds",https://www.tiktok.com/@siabramds,"Kalo indonesia udh jadi perang kali",3-6-2020,6512,"https://p77-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/865b606c15f24e6150a09d5d01482b96~c5_100x100.jpg?x-expires=1675346400&x-signature=nL23NbTrbYIWXfbqWgLO1N%2BdQ1o%3D",No,---,3
42,"😻💚💚😻","dawiya4",https://www.tiktok.com/@dawiya4,"gw ngakaknya sama foto lu, anjirr!! 😂😂😂🤣🤣🤣🤣",4-6-2020,122,"https://p77-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/949a311f3572dc5f5a3ad08358927740.jpg?x-expires=1675346400&x-signature=nCgjiLGvZVeeDJSAQEjYwTI%2FeKk%3D",Yes,"𝐅𝟒𝐊𝐄𝐬𝐮𝐩𝐞𝐫𝐢𝐨𝐫",0
43,"Y/n","wawaandrere",https://www.tiktok.com/@wawaandrere,"Sama woy!! b[laughwithtears][laughwithtears][laughwithtears][laughwithtears][laughwithtears][laughwithtears][laughwithtears][laughwithtears]",14-6-2020,2,"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/6fd3341f6094d0d639f292fab1771e80.jpg?x-expires=1675346400&x-signature=aN2bNLFVSDiQzSWHyyjGWElXNUY%3D",Yes,"𝐅𝟒𝐊𝐄𝐬𝐮𝐩𝐞𝐫𝐢𝐨𝐫",0
