Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
201,Tigertail105,tigertail105,https://www.tiktok.com/@tigertail105,Obama brought the cages in........🥺,21-8-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/32435ea9b4b4d0faffd13845f4137055~c5_100x100.jpg?x-expires=1675346400&x-signature=5Mwd2Edw6dCAoo2PBEqk9jRxPIs%3D,No,---,0
202,mick jones,mickjones6,https://www.tiktok.com/@mickjones6,He’s going to be indicted and won’t be coming back in 2024,18-8-2022,3,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/6891214962329387014~c5_100x100.jpg?x-expires=1675346400&x-signature=EqmqyY7vpcyNlOaPNOOp%2FDTqSm4%3D,No,---,3
203,pinkprincess775,pinkprincess775,https://www.tiktok.com/@pinkprincess775,"More like BIDEN. The only one that belongs in jail is the Disgrace Democrats Biden, Hunter, Hilliary, Obama",11-10-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ae25fc8c8860872a1734d7b1045ff38~c5_100x100.jpg?x-expires=1675346400&x-signature=CpoynzHfmp3Eo6Dn7w3BrX1C1ko%3D,Yes,mick jones,0
204,mick jones,mickjones6,https://www.tiktok.com/@mickjones6,I don’t think he’s in trouble like Don,11-10-2022,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/6891214962329387014~c5_100x100.jpg?x-expires=1675346400&x-signature=EqmqyY7vpcyNlOaPNOOp%2FDTqSm4%3D,Yes,mick jones,0
205,cathy__183,cathy__183,https://www.tiktok.com/@cathy__183,😳😳,8-12-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1b052d579f5b4db17577105293d12350~c5_100x100.jpg?x-expires=1675346400&x-signature=6sEQpZhjUr01dtLkJLQOMUjkfpQ%3D,Yes,mick jones,0
206,Comic Dog,comicdogz,https://www.tiktok.com/@comicdogz,my question would be are u ok? I hope you get educated one day.,16-8-2022,2,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/97361f0e2068422d9ab0911998db2c94~c5_100x100.jpg?x-expires=1675346400&x-signature=SRG6bFY%2FZAJz2bH08NJH5SLmd7s%3D,No,---,0
207,Tik Toker,hybridnegro1,https://www.tiktok.com/@hybridnegro1,"Question,🤔 How do you feel about him going to jail",16-8-2022,2,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/79c93462fb22fdcdc856c10c448d30b7~c5_100x100.jpg?x-expires=1675346400&x-signature=Bd3s7x9jbLVEyUfAhkhXz9QlHj4%3D,No,---,0
208,Cheryl Richt,therightricht,https://www.tiktok.com/@therightricht,🤣,16-8-2022,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1682291518229510~c5_100x100.jpg?x-expires=1675346400&x-signature=wk%2BdHSxm8pwZDMFbLG9upJdVCAo%3D,No,---,0
209,Henry T Asher,henrytasher,https://www.tiktok.com/@henrytasher,"next time these libs ask u anyrhing about trump, just plead the fifth. he did- over 400 times",16-8-2022,1,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1688968015736838~c5_100x100.jpg?x-expires=1675346400&x-signature=uyPt9SIakmn5e3oCvv4loBgBbMw%3D,No,---,0
210,nielleisbettertbh,nielleisbettertbh,https://www.tiktok.com/@nielleisbettertbh,"""Why do you love trump so much"" because im white and hes done everything to protect his fellow whites",14-8-2022,1,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/04b20860692b80ab42e56a52af00dc6b~c5_100x100.jpg?x-expires=1675346400&x-signature=W7%2BX97F03Y9jYStCchrQlXSpug8%3D,No,---,0
211,masontj21,masontj21,https://www.tiktok.com/@masontj21,😂Anonymous has been following your president and your all are going to hate it,14-8-2022,1,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675346400&x-signature=HDTv3qXJwcMMIp%2F4z7LaCZADyUY%3D,No,---,0
212,terminallybored,dddmap,https://www.tiktok.com/@dddmap,because I'm so uncoordinated I make a tik tok hand jive look like a Vegas rub and tug by a cretin,14-8-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2057df46877ea0cc9a33b28c35f26b22~c5_100x100.jpg?x-expires=1675346400&x-signature=8sHcVrCwK7PA1xBOjfAl8NGaLMo%3D,No,---,0
213,Robert John,user7518564578715,https://www.tiktok.com/@user7518564578715,Never graduated hs,13-8-2022,2,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1681836457491461~c5_100x100.jpg?x-expires=1675346400&x-signature=l7nrPHFUkzyNCVtMOJy0fhmj4ro%3D,No,---,1
214,cathy__183,cathy__183,https://www.tiktok.com/@cathy__183,😂😳😳😳,8-12-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1b052d579f5b4db17577105293d12350~c5_100x100.jpg?x-expires=1675346400&x-signature=6sEQpZhjUr01dtLkJLQOMUjkfpQ%3D,Yes,Robert John,0
215,kellypeterson505,kellypeterson505,https://www.tiktok.com/@kellypeterson505,🤣🤣🤣🤣🤣 trump for prison!!!!!!,13-8-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/11edeb3c754e9cf611985da3bc11959b~c5_100x100.jpg?x-expires=1675346400&x-signature=63gBNSOzRgGtfzuKxWRktMEGJpg%3D,No,---,0
216,Lessamar007,leesamar007,https://www.tiktok.com/@leesamar007,omg did you hear the news today! 😁 still thinks he loves America.. or just loves to sell it to the highest bidder,13-8-2022,2,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0bba18aeb788841548c266eb0761a9f9~c5_100x100.jpg?x-expires=1675346400&x-signature=OAtkdE%2Bb%2B%2BuAoTzMcqAgykHL1uk%3D,No,---,0
217,Rod L Harrell,rodlharrell,https://www.tiktok.com/@rodlharrell,love the hat,12-8-2022,1,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1665549986042886~c5_100x100.jpg?x-expires=1675346400&x-signature=%2B%2FHUzqus6G5%2BhTnCH8S96xMma5M%3D,No,---,0
218,Gary Balzac,garybalzac23,https://www.tiktok.com/@garybalzac23,"Here is what you should question, what is conservative? Reagan Republicanism. Donald Trump is a black mark on the republican party",12-8-2022,1,https://sf16-passport-va.ibytedtos.com/img/user-avatar-musically/752fe46d94f8d33340132aa72eb43293~120x256.image,No,---,0
219,T_Freeman_929,tfreeman929,https://www.tiktok.com/@tfreeman929,I’m trying to get on the Trump supporter side of TikTok. Trump 2024 or sooner,11-8-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/dbdd7ec2d8aa127e47425402364a0ca4~c5_100x100.jpg?x-expires=1675346400&x-signature=%2BOod3cJPH9xkNjJ37trpatLCiuk%3D,No,---,0
220,Out of Peyton's Closet,outofpeytonscloset,https://www.tiktok.com/@outofpeytonscloset,get on beat 1st,11-8-2022,0,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/805fa2a32c62b625ef9c39e4974e270b~c5_100x100.jpg?x-expires=1675346400&x-signature=MrCM55cHTP3EmHIi0f8nGbDSJMc%3D,No,---,0
221,Deedee,deedee4374,https://www.tiktok.com/@deedee4374,TRUMP WILL NEVER BE PRESIDENT AGAIN! Deal with it.,11-8-2022,3,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/16807868bc34011f18b13534db67e8c7~c5_100x100.jpg?x-expires=1675346400&x-signature=7njdwv1TQdb730%2F8YZMCXHAHOJo%3D,No,---,1
222,pinkprincess775,pinkprincess775,https://www.tiktok.com/@pinkprincess775,Absolutely not true. ENJOY BIDEN INFLATION,11-10-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ae25fc8c8860872a1734d7b1045ff38~c5_100x100.jpg?x-expires=1675346400&x-signature=CpoynzHfmp3Eo6Dn7w3BrX1C1ko%3D,Yes,Deedee,0
223,stephenmhuffman,stephenmhuffman,https://www.tiktok.com/@stephenmhuffman,Trump is under investigation for espionage because he’s been selling top level secrets to our enemies.,11-8-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c1aa238f990000c7ca55752c72e01ad5~c5_100x100.jpg?x-expires=1675346400&x-signature=dhJDu73FEze9MQbQeypsd9MuVcc%3D,No,---,1
224,pinkprincess775,pinkprincess775,https://www.tiktok.com/@pinkprincess775,Not True. You should actually get more educated and see what Biden and his son Hunter conspiracy is about. Then talk,11-10-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ae25fc8c8860872a1734d7b1045ff38~c5_100x100.jpg?x-expires=1675346400&x-signature=CpoynzHfmp3Eo6Dn7w3BrX1C1ko%3D,Yes,stephenmhuffman,0
225,Roderick Larkins751,rodlarkins0034,https://www.tiktok.com/@rodlarkins0034,The twice impeached conman going to jail,11-8-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7088974504856125486~c5_100x100.jpg?x-expires=1675346400&x-signature=eMdFtUSDVHJcknF8UluVQyyHp%2FM%3D,No,---,0
226,Joe Pedro335,darthraider1973,https://www.tiktok.com/@darthraider1973,so you support a draft dodger and someone who disrespects veterans?,10-8-2022,2,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f58298b2b2e519de8d212f75396bfe31~c5_100x100.jpg?x-expires=1675346400&x-signature=%2BjqHUWtzVC7l%2F5ldy2H4QkZpzHA%3D,No,---,0
